stream_ratio,year,OM.type,added_N,added_P,added_NP,rrP,rrN,rrAF
2,YR1,Leaves,104.5360335,91.70859585,2.524001632,1.452142349,1.063503693,0.426394035
8,YR1,Leaves,209.8760354,47.78243158,9.725865586,1.411703598,1.046549191,0.397753657
16,YR1,Leaves,399.0399345,49.53879821,17.83629111,1.568240297,1.166663507,0.573532828
32,YR1,Leaves,344.1627211,21.81394433,34.93520407,1.285544438,1.056473857,0.507185623
128,YR1,Leaves,406.0211646,9.279925218,96.88083076,1.149605556,1.077934053,0.577084238
2,YR1,Biofilm,104.5360335,91.70859585,2.524001632,1.884249709,1.556905462,1.498466211
8,YR1,Biofilm,209.8760354,47.78243158,9.725865586,1.981575967,2.168794736,1.163773435
16,YR1,Biofilm,399.0399345,49.53879821,17.83629111,2.164375328,1.880591293,0.998729231
32,YR1,Biofilm,344.1627211,21.81394433,34.93520407,2.351145928,1.99798636,0.871045428
128,YR1,Biofilm,406.0211646,9.279925218,96.88083076,1.736009609,2.197967169,1.158204596
2,YR1,FBOM,104.5360335,91.70859585,2.524001632,1.27079021,1.037370242,0.707154194
8,YR1,FBOM,209.8760354,47.78243158,9.725865586,1.249767077,1.44883856,0.848128905
16,YR1,FBOM,399.0399345,49.53879821,17.83629111,0.816085226,0.925931034,0.605718313
32,YR1,FBOM,344.1627211,21.81394433,34.93520407,0.849650022,1.095506663,0.824774203
128,YR1,FBOM,406.0211646,9.279925218,96.88083076,0.931039383,1.285205617,1.038100047
2,YR1,Wood,104.5360335,91.70859585,2.524001632,1.460439041,1.094138544,NA
8,YR1,Wood,209.8760354,47.78243158,9.725865586,1.539691408,1.110803324,NA
16,YR1,Wood,399.0399345,49.53879821,17.83629111,1.22642779,1.061102832,NA
32,YR1,Wood,344.1627211,21.81394433,34.93520407,1.593035406,1.230263158,NA
128,YR1,Wood,406.0211646,9.279925218,96.88083076,1.221876146,1.094915254,NA
2,YR2,Leaves,80.84704362,82.19851016,2.177879543,1.564296222,1.056919291,0.314337292
8,YR2,Leaves,149.6525379,35.81326731,9.252813317,1.3544937,0.949153844,0.529009495
16,YR2,Leaves,365.8207505,52.94382154,15.29983364,1.522087014,1.161930306,0.438983707
32,YR2,Leaves,371.2466004,26.92702065,30.52866688,1.339838858,1.111321936,0.526222116
128,YR2,Leaves,508.8615118,10.35477873,108.8159203,1.112473904,1.048240609,0.668859824
2,YR2,Biofilm,80.84704362,82.19851016,2.177879543,2.219668889,1.579461021,0.805624245
8,YR2,Biofilm,149.6525379,35.81326731,9.252813317,2.306471638,1.693283433,2.096618646
16,YR2,Biofilm,365.8207505,52.94382154,15.29983364,2.505423138,1.628015212,1.344109391
32,YR2,Biofilm,371.2466004,26.92702065,30.52866688,1.713959541,1.434467292,1.048203181
128,YR2,Biofilm,508.8615118,10.35477873,108.8159203,1.622194412,1.40416144,1.036825063
2,YR2,FBOM,80.84704362,82.19851016,2.177879543,1.921900245,1.664013841,0.656176587
8,YR2,FBOM,149.6525379,35.81326731,9.252813317,1.415240662,1.659001161,0.59537776
16,YR2,FBOM,365.8207505,52.94382154,15.29983364,1.02808774,1.054896552,0.847423399
32,YR2,FBOM,371.2466004,26.92702065,30.52866688,1.038393674,1.297706848,0.816388857
128,YR2,FBOM,508.8615118,10.35477873,108.8159203,1.068827601,1.12552658,0.984040376
2,YR2,Wood,80.84704362,82.19851016,2.177879543,2.04753904,1.106394316,NA
8,YR2,Wood,149.6525379,35.81326731,9.252813317,1.645565977,1.033795014,NA
16,YR2,Wood,365.8207505,52.94382154,15.29983364,1.543243783,1.022354694,NA
32,YR2,Wood,371.2466004,26.92702065,30.52866688,1.743933828,1.10625,NA
128,YR2,Wood,508.8615118,10.35477873,108.8159203,1.093025936,1.050677966,NA
